State,Year,Quarter,Population,Unemployment_Rate,Civilian noninstitutional population,Total Civilian Labor Force,Total Employed Civilian Labor Force,Total Unemployed Civilian Labor Force,% Civilian Labor Force Unemployed,Personal_Income,Applications,Formations,Births,GDP_Total,GDP_Accom_Food,GDP_Admin_Waste,GDP_Ag_Fish_Hunt,GDP_Arts_Recreation,GDP_Construction,GDP_Durable_Goods,GDP_Education,GDP_Finance_Insurance,GDP_Gov_Federal,GDP_Gov_Military,GDP_Gov_State_Local,GDP_Gov_Total,GDP_Healthcare_Social,GDP_Information,GDP_Management,GDP_Manufacturing,GDP_Mining_Oil_Gas,GDP_Nondurable_Goods,GDP_Other_Services,GDP_Private_Total,GDP_Prof_Tech_Services,GDP_Real_Estate,GDP_Retail,GDP_Transport_Warehousing,GDP_Utilities,GDP_Wholesale,Housing_Price_Index
Alabama,2008,1,4718206,4.73,3618927.0,2203722.0,2102623.0,101099.0,4.6,155029.1,7981,963,15933,174345.5,3887.4,4285.0,2164.5,588.1,8643.8,18839.6,925.9,9355.9,6609.8,3700.7,18605.7,28916.1,11362.9,5057.8,1370.9,29189.4,3526.6,10349.8,4555.2,145429.4,10092.6,19305.7,12026.4,4627.6,4333.0,10130.5,198.48
Alabama,2008,2,4728139,5.43,3627861.0,2203488.0,2089789.0,113699.0,5.2,162237.3,8232,956,15573,175917.8,3915.8,4309.9,1957.1,589.2,8399.3,19175.7,921.1,8465.4,6623.4,3818.9,18835.9,29278.2,11553.1,5113.5,1380.5,29521.2,4120.2,10345.5,4536.3,146639.6,10411.1,19618.0,12136.9,4739.3,4595.1,10356.7,196.53
Alabama,2008,3,4738072,6.27,3637921.0,2202199.0,2070556.0,131643.0,6.0,157640.2,8085,912,17016,176078.5,3943.8,4266.4,1685.3,607.8,8372.3,18740.5,941.6,7198.9,6688.1,3912.1,19061.2,29661.4,11789.6,5070.7,1490.1,29496.6,4049.9,10756.1,4573.3,146417.2,10665.8,19617.1,12344.0,4785.3,5025.7,10493.0,193.61
Alabama,2008,4,4748005,7.23,3648005.0,2195849.0,2044954.0,150895.0,6.9,156214.8,7472,779,16024,172320.4,3946.0,4188.2,1678.1,633.2,8100.5,17189.0,984.4,5803.6,6838.2,4023.4,19247.9,30109.5,12074.8,4901.8,1391.3,27516.5,3336.0,10327.5,4605.6,142210.9,11000.1,19703.1,12200.6,4908.6,4917.1,10321.4,190.97
Alabama,2009,1,4757938,8.4,3656538.0,2185995.0,2010397.0,175598.0,8.0,154197.4,7484,815,15068,170336.2,3973.9,4050.2,1868.2,612.9,7776.3,14857.1,1048.3,8145.5,7004.5,4094.7,19236.2,30335.4,12122.1,4705.0,1433.2,25207.9,2899.8,10350.8,4566.5,140000.8,10494.8,19724.1,11811.3,4465.7,5253.0,9842.1,191.39
Alabama,2009,2,4762716,9.4,3664116.0,2178233.0,1979920.0,198313.0,9.1,156433.8,7325,794,15273,170148.0,3959.5,4020.4,1863.7,609.7,7612.2,13355.5,1057.3,9006.7,7201.1,4172.9,19742.0,31116.0,12280.6,4623.6,1536.4,24697.7,2692.7,11342.2,4567.4,139032.1,10583.3,19377.5,11776.3,4267.5,4836.8,9662.6,190.72
Alabama,2009,3,4767495,10.27,3672655.0,2171173.0,1953914.0,217259.0,10.0,155704.8,7309,828,16604,170871.6,3996.1,4018.3,1925.2,632.5,7337.8,13211.7,1081.5,9168.3,7270.3,4256.5,19769.6,31296.3,12305.7,4654.0,1517.7,25097.2,2718.5,11885.5,4573.7,139575.2,10589.8,19467.5,11689.6,4329.1,4879.6,9593.1,185.46
Alabama,2009,4,4772274,10.87,3682312.0,2161009.0,1928957.0,232052.0,10.7,156331.7,7426,841,15530,172150.0,3948.4,4129.0,1936.1,627.4,6980.5,13551.0,1115.4,9143.2,7299.1,4256.1,19569.4,31124.6,12390.7,4639.5,1486.6,25605.3,2933.1,12054.3,4645.0,141025.4,10707.7,19283.5,12038.4,4453.2,5149.4,9812.9,191.83
Alabama,2010,1,4777052,10.97,3689832.0,2164312.0,1926527.0,237785.0,11.0,158488.8,7511,825,14596,173109.4,4112.0,4271.9,1489.3,628.2,6943.1,14844.6,1112.3,9487.9,7373.8,4292.3,19600.2,31266.4,12505.6,4541.2,1571.1,25804.6,3339.5,10960.0,4627.5,141843.0,10376.1,19829.1,11947.3,4452.0,4992.3,9812.2,184.14
Alabama,2010,2,4784060,10.33,3696845.0,2218664.0,1985400.0,233264.0,10.5,161353.3,7462,809,14219,176268.0,4126.3,4540.0,1786.7,632.2,6864.8,15798.9,1134.2,9631.4,7556.7,4266.4,19782.5,31605.6,12510.7,4560.0,1663.1,26547.9,2946.9,10749.0,4711.5,144662.4,10574.2,20166.3,12231.8,4607.7,5348.5,10078.2,180.8
Alabama,2010,3,4791923,10.1,3708097.0,2234253.0,2009080.0,225173.0,10.1,163942.9,7369,819,16027,180096.6,4135.9,4865.4,2082.4,603.8,6922.8,16993.7,1162.5,9564.7,7501.1,4195.3,19916.3,31612.7,12738.1,4616.1,1643.8,28193.3,3058.5,11199.6,4760.1,148483.9,10841.2,20229.6,12211.3,4738.9,5888.7,10226.5,179.06
Alabama,2010,4,4798854,10.1,3715755.0,2235027.0,2008891.0,226136.0,10.1,164490.4,7916,854,15208,180569.0,4159.0,4733.3,2283.5,599.8,6615.9,16944.5,1148.2,9457.1,7552.5,4232.8,19569.8,31355.2,12805.8,4641.2,1769.9,28763.2,2978.6,11818.8,4791.5,149213.8,10931.9,20468.6,12047.5,4755.7,6086.8,10176.4,174.93
Alabama,2011,1,4804174,10.0,3721633.0,2231094.0,2006796.0,224298.0,10.1,166828.7,7439,759,14339,179875.7,4350.7,4730.5,1839.8,620.7,6571.6,17471.7,1166.9,8158.8,7714.5,4237.5,19819.3,31771.4,12932.9,4456.2,1710.2,30353.4,2991.9,12881.8,4709.0,148104.3,10765.2,20114.1,12302.8,4774.6,5553.1,10001.8,171.36
Alabama,2011,2,4809453,9.83,3726553.0,2227013.0,2007169.0,219844.0,9.9,167145.0,6806,759,14136,181660.2,4325.3,4697.9,1593.5,637.5,6642.7,17231.0,1168.3,8390.7,7831.8,4257.6,19887.6,31977.0,13029.8,4587.0,1689.0,30980.2,2997.1,13749.2,4734.6,149683.2,10916.0,20512.3,12155.0,4742.0,5687.3,10196.9,169.99
Alabama,2011,3,4816594,9.5,3732549.0,2216914.0,2002209.0,214705.0,9.7,168471.5,7534,833,15967,183751.1,4361.2,4732.4,1553.0,624.7,6605.9,17654.5,1185.2,8925.5,7876.9,4302.2,19979.2,32158.3,13162.8,4537.3,1795.8,31500.2,2700.8,13845.6,4784.9,151592.8,11123.9,20592.4,12314.2,4760.2,5903.9,10428.6,170.99
Alabama,2011,4,4824088,8.9,3740372.0,2208246.0,2006875.0,201371.0,9.1,169083.6,7532,835,14912,186299.8,4399.1,4683.2,1311.3,612.3,6803.8,18491.8,1169.3,9506.8,7850.6,4295.2,20010.9,32156.6,13221.8,4373.0,1798.4,32306.4,3076.0,13814.6,4805.8,154143.2,11117.4,21048.1,12365.6,4847.3,6155.4,10542.2,170.96
Alabama,2012,1,4830505,8.5,3746937.0,2194417.0,2006675.0,187742.0,8.6,170900.5,7575,771,14034,187413.6,4698.2,4854.3,2366.1,670.1,6873.2,18776.7,1188.7,9999.5,7719.5,4242.8,20243.2,32205.5,13435.4,4279.7,1784.8,31931.1,2995.8,13154.4,4842.0,155208.1,11023.9,20924.7,12699.7,4684.9,5552.0,10404.2,172.67
Alabama,2012,2,4836555,8.37,3752847.0,2188141.0,2004181.0,183960.0,8.4,172236.1,7539,796,14173,189100.7,4691.4,4846.3,1934.5,680.9,6907.4,19368.9,1206.8,10738.7,7692.0,4241.0,19931.5,31864.4,13363.9,4350.5,1858.5,32119.0,2984.0,12750.1,4830.0,157236.2,11260.8,21164.3,12765.2,4856.7,6055.4,10622.0,176.3
Alabama,2012,3,4844079,8.07,3759465.0,2192488.0,2012346.0,180142.0,8.2,170469.8,7178,703,15464,188049.1,4698.5,4783.9,1531.1,680.4,6834.7,19211.4,1202.3,11315.3,7688.9,4209.1,19784.6,31682.5,13305.4,4246.3,1806.1,31826.7,2848.4,12615.3,4839.3,156366.6,11233.5,21372.1,12730.1,4781.7,5719.3,10611.6,172.36
Alabama,2012,4,4851477,7.77,3767568.0,2197913.0,2025669.0,172244.0,7.8,174799.4,7709,809,14777,188559.5,4769.0,4806.3,1350.4,659.6,6974.9,19646.7,1199.9,11181.2,7698.0,4195.1,20203.0,32096.1,13544.8,4117.4,1988.2,32055.5,2785.4,12408.8,4872.2,156463.4,10995.8,21503.8,12798.1,4819.2,5521.6,10520.1,176.29
Alabama,2013,1,4856549,7.6,3774259.0,2194352.0,2026368.0,167984.0,7.7,172827.1,7509,733,13822,193119.0,4871.3,4791.2,2726.4,671.0,6867.6,20091.9,1219.9,11286.6,7723.6,4171.2,20190.9,32085.7,13671.7,4401.0,1881.2,33138.9,2822.7,13047.0,4890.3,161033.3,11397.2,21679.7,13103.8,4821.2,5806.1,10985.4,177.2
Alabama,2013,2,4861942,7.33,3779544.0,2186564.0,2024514.0,162050.0,7.4,173617.9,7038,721,13878,192936.0,4880.1,4840.2,2799.1,658.0,6964.8,20393.8,1205.4,10782.2,7688.7,4130.2,20332.2,32151.1,13775.5,4388.3,1793.4,33393.5,2644.6,12999.7,4886.0,160784.9,11266.5,21760.8,13199.5,4804.7,5869.8,10872.3,179.13
Alabama,2013,3,4868679,7.3,3786525.0,2184676.0,2025583.0,159093.0,7.3,174698.4,7323,719,15474,195099.9,4917.3,4853.9,4098.0,665.3,6997.3,20480.1,1217.6,10787.3,7589.7,4139.5,20465.3,32194.5,13726.0,4432.3,1788.1,33635.6,2544.2,13155.5,4953.5,162905.4,11236.5,22150.4,13350.7,4870.7,5542.9,11137.6,179.97
Alabama,2013,4,4875308,7.2,3793107.0,2175700.0,2018142.0,157558.0,7.2,173739.3,7683,813,14993,194771.3,4934.3,4924.7,2668.1,692.8,6984.7,20510.4,1217.7,10749.6,7776.0,4150.2,20465.9,32392.2,13927.5,4275.5,1897.1,33890.7,2239.2,13380.4,5041.7,162379.1,11303.7,22225.9,13310.7,5011.4,5705.5,11378.3,180.61
Alabama,2014,1,4880201,7.13,3798662.0,2173670.0,2017735.0,155935.0,7.2,175466.9,7422,706,14182,192853.7,4984.9,4845.5,2520.8,680.6,7089.6,19706.8,1256.5,11711.2,7960.0,4047.5,20639.1,32646.5,13930.5,4266.9,1578.2,32924.5,2280.4,13217.7,4974.2,160207.1,11166.7,21740.9,13116.7,4854.4,5222.3,11062.4,182.19
Alabama,2014,2,4884989,6.93,3803434.0,2173124.0,2020619.0,152505.0,7.0,178453.8,7375,755,14263,196536.8,5112.1,5041.9,2770.0,700.6,7037.0,19963.8,1250.8,12472.2,8029.7,4123.8,20755.9,32909.4,14126.0,4212.6,1727.5,32927.9,2213.5,12964.1,5138.8,163627.4,11286.6,21969.4,13381.9,5040.0,5950.9,11267.7,181.46
Alabama,2014,3,4891403,6.7,3809170.0,2167304.0,2020847.0,146457.0,6.8,180759.3,7367,834,15496,199021.2,5241.9,5149.1,2606.2,714.7,7141.2,20560.2,1266.8,12412.4,8107.0,4158.9,21053.7,33319.6,14271.5,4161.4,1862.1,33213.5,2032.2,12653.3,5270.6,165701.5,11542.4,22411.9,13675.6,5230.5,5915.0,11582.9,182.92
Alabama,2014,4,4897871,6.3,3816228.0,2165301.0,2025780.0,139521.0,6.4,183268.4,7112,781,15481,199845.9,5316.1,5213.1,2600.8,704.1,7294.7,20651.9,1276.9,12409.1,8169.8,4177.6,21193.2,33540.7,14406.4,4301.3,1856.2,32766.9,1804.0,12115.0,5304.4,166305.2,11534.7,22397.5,13747.4,5373.1,6544.9,11453.9,185.28
Alabama,2015,1,4902063,6.13,3821696.0,2166864.0,2033561.0,133303.0,6.2,185291.7,8131,812,14384,200030.7,5452.2,5028.7,2699.5,730.4,7234.9,20670.9,1269.3,13150.7,8168.0,4074.9,21330.2,33573.1,14956.7,4386.6,1756.2,32494.5,1332.3,11823.6,5255.6,166457.7,11618.6,22850.2,13657.3,5265.9,5775.3,11542.6,185.33
Alabama,2015,2,4906482,6.1,3825780.0,2173967.0,2040484.0,133483.0,6.1,187010.9,7548,781,14296,202898.3,5558.2,5147.7,2714.0,671.1,7451.3,21029.1,1262.3,13469.0,8228.7,4078.8,21571.9,33879.4,14876.2,4413.7,1798.4,33044.0,1465.8,12014.9,5328.2,169018.9,11757.3,23051.5,13914.4,5373.7,6108.9,11613.2,188.76
Alabama,2015,3,4912678,6.1,3831547.0,2171593.0,2038753.0,132840.0,6.1,188719.5,8198,823,15748,204848.2,5716.7,5208.7,2753.5,692.3,7606.7,21407.3,1287.5,12959.6,8230.9,4048.5,21949.8,34229.1,15161.9,4418.2,1840.4,33298.4,1496.3,11891.1,5332.5,170619.1,11923.4,23400.8,14306.9,5495.9,6127.4,11591.9,189.13
Alabama,2015,4,4919092,6.0,3838445.0,2173053.0,2042129.0,130924.0,6.0,188876.9,7982,740,15229,204676.1,5766.0,5244.9,2527.5,697.7,7687.3,21354.8,1301.3,12704.4,8267.9,4153.1,21700.5,34121.5,15059.8,4404.8,1852.9,33156.9,1394.7,11802.1,5397.8,170554.6,12076.4,23588.6,14410.0,5476.0,6097.8,11709.5,189.96
Alabama,2016,1,4923738,5.9,3844120.0,2184528.0,2054673.0,129855.0,5.9,189491.0,8374,788,14348,205783.7,5912.2,5227.5,2164.5,712.9,8221.7,21627.4,1342.9,12276.4,8295.3,4160.0,21779.3,34234.7,15465.4,4386.9,1993.5,33483.4,1158.0,11856.0,5363.4,171549.1,12166.4,23940.8,14619.9,5534.2,5816.9,11762.1,191.93
Alabama,2016,2,4928639,5.8,3849603.0,2191598.0,2064266.0,127332.0,5.8,190311.1,8327,754,14376,208578.1,5889.4,5298.2,2169.7,732.7,8142.0,21684.8,1363.4,12438.2,8325.2,4176.5,21990.5,34492.2,15675.7,4308.9,1958.4,34041.1,1280.4,12356.3,5381.3,174086.0,12172.4,24182.6,15009.9,5677.6,6314.6,12049.1,193.92
Alabama,2016,3,4935028,5.8,3855722.0,2197442.0,2070489.0,126953.0,5.8,191052.4,8986,756,15607,209418.5,5927.4,5267.2,2050.0,769.3,8069.3,21277.3,1370.5,12834.0,8416.2,4191.0,22242.7,34849.9,15767.1,4340.0,1955.6,33565.0,1425.1,12287.7,5462.9,174568.6,12339.4,24221.8,14855.4,5627.2,6614.8,12106.7,196.11
Alabama,2016,4,4941401,5.7,3862877.0,2204273.0,2076812.0,127461.0,5.8,192632.8,9071,798,14820,211516.7,6041.7,5339.1,1879.3,784.9,8440.1,21776.6,1367.5,13102.7,8464.6,4231.7,22519.7,35216.0,15831.5,4332.9,2105.8,33870.5,1548.2,12093.9,5449.7,176300.7,12532.3,24238.7,15207.2,5634.8,6199.0,12394.7,198.1
Alabama,2017,1,4945848,5.2,3868959.0,2206228.0,2086487.0,119741.0,5.4,195457.1,9065,781,14243,214141.7,6111.2,5551.5,2472.0,731.1,8945.6,22280.5,1338.5,12313.8,8538.2,4336.9,22680.1,35555.2,16089.8,4317.4,2116.9,34653.7,1788.0,12373.2,5429.4,178586.5,12825.3,24303.5,15203.5,5993.9,6041.7,12359.8,199.55
Alabama,2017,2,4950219,4.63,3873696.0,2206288.0,2100100.0,106188.0,4.8,197153.2,9135,763,13969,215066.6,6137.2,5636.9,2481.3,768.0,8591.3,22421.0,1314.1,12111.9,8563.1,4443.2,22751.1,35757.5,16042.6,4364.3,2313.9,34948.3,1982.8,12527.4,5517.7,179309.1,12990.9,24425.7,15233.3,5999.9,5917.5,12531.3,202.05
Alabama,2017,3,4956881,4.2,3879610.0,2206860.0,2111685.0,95175.0,4.3,198427.5,9232,792,15803,216841.7,6197.4,5777.4,2338.6,784.2,8833.9,22935.8,1321.4,12084.4,8612.1,4474.9,22424.1,35511.0,16156.4,4395.9,2051.8,35733.5,1944.7,12797.7,5624.6,181330.7,13150.8,24499.9,15288.7,6042.3,6404.9,12699.8,204.42
Alabama,2017,4,4963818,4.0,3886004.0,2207465.0,2118356.0,89109.0,4.0,200817.3,9670,745,14926,220411.9,6198.4,5851.9,2429.7,813.1,8928.3,23625.0,1297.4,12318.2,8632.3,4586.3,22957.0,36175.6,16247.7,4447.6,2192.6,36670.0,2084.4,13045.0,5713.9,184236.3,13527.2,24927.1,15419.4,6166.1,6262.9,12740.4,207.73
Alabama,2018,1,4968538,4.0,3890857.0,2214527.0,2126765.0,87762.0,4.0,202840.6,10047,797,14005,223670.1,6217.6,5910.0,2565.9,813.8,9089.3,23939.5,1284.2,12709.1,8650.7,4664.3,23194.0,36509.0,16662.6,4240.3,2224.4,37542.3,2011.3,13602.8,5780.3,187161.2,13666.7,25085.7,15609.0,6532.3,6257.7,12958.7,209.84
Alabama,2018,2,4973864,4.0,3894742.0,2231472.0,2142721.0,88751.0,4.0,204395.1,10830,796,13946,225398.8,6275.6,5952.1,2647.3,858.3,9272.4,24025.0,1305.8,12931.8,8758.3,4730.4,23283.2,36771.9,16784.0,4435.9,2090.9,37479.2,1921.5,13454.3,5891.2,188627.0,14031.7,25298.8,15823.4,6578.1,6064.3,12984.7,213.22
Alabama,2018,3,4981184,3.9,3900110.0,2238463.0,2150399.0,88064.0,3.9,206240.5,10702,760,15027,226627.4,6342.9,6047.6,2342.3,841.1,9599.8,24354.2,1299.0,12997.5,8833.5,4748.6,23178.0,36760.1,16759.1,4578.5,2032.1,37843.8,1912.9,13489.5,5942.2,189867.3,14030.9,25495.2,15846.3,6633.0,6210.2,13112.9,215.6
Alabama,2018,4,4988758,3.8,3907593.0,2244777.0,2158591.0,86186.0,3.8,209220.5,10673,784,14783,229358.8,6569.3,6202.2,2382.6,836.8,9890.9,24970.7,1347.3,12720.2,8921.6,4778.9,23515.4,37215.9,16920.5,4661.0,2145.7,38330.3,1913.5,13359.6,6083.1,192142.8,13990.7,25819.5,15914.4,6803.1,6302.3,13309.5,217.6
Alabama,2019,1,4994224,3.57,3912979.0,2257760.0,2174406.0,83354.0,3.7,212649.0,10992,747,13966,231258.9,6436.0,6313.3,1874.9,865.6,10195.5,25330.3,1350.9,12970.0,8956.9,4739.2,23497.7,37193.8,17567.7,5043.3,2236.1,38018.7,1798.4,12688.4,5859.6,194065.1,14221.8,26656.9,16228.8,6332.6,6526.0,13568.8,221.97
Alabama,2019,2,5000222,3.17,3917220.0,2262068.0,2187615.0,74453.0,3.3,214427.8,9958,723,13812,233386.0,6564.9,6391.2,1921.7,853.9,10619.3,25580.3,1377.6,13267.6,9015.7,4764.4,23875.1,37655.2,17659.0,5040.0,2244.1,38075.9,1783.3,12495.6,5896.8,195730.8,14320.4,26651.2,16458.7,6469.0,6567.5,13568.6,224.4
Alabama,2019,3,5008288,3.0,3923284.0,2264164.0,2196517.0,67647.0,3.0,215946.6,10137,719,15756,236371.8,6740.2,6436.4,2073.0,868.3,10765.5,25314.3,1378.9,13013.6,9101.2,4790.7,24543.8,38435.6,17964.8,5044.9,2222.7,37877.3,1796.4,12563.0,6128.5,197936.2,14789.2,26848.4,16843.2,6667.3,6607.1,13870.5,227.98
Alabama,2019,4,5016699,3.03,3931365.0,2268441.0,2200603.0,67838.0,3.0,217583.7,10510,742,15081,238176.2,6943.1,6445.6,2340.0,916.9,10853.1,25346.6,1380.8,13161.7,9129.5,4802.1,24968.0,38899.6,18215.9,4957.1,2164.8,37853.7,1767.0,12507.1,6226.2,199276.6,14817.4,26925.4,17014.2,6764.4,6495.7,14033.7,232.17
Alabama,2020,1,5022585,3.3,3937543.0,2260440.0,2188319.0,72121.0,3.2,220781.1,9299,646,14179,238175.6,6334.4,6469.0,2439.3,862.2,10812.6,24549.4,1315.9,12524.3,9322.2,4837.5,25536.5,39696.2,18215.6,4898.7,2117.4,37187.9,1740.1,12638.6,6181.1,198479.4,15421.5,26996.9,16977.5,6887.6,6330.8,14766.6,238.02
Alabama,2020,2,5028799,10.93,3942140.0,2184411.0,1883575.0,300836.0,13.8,240602.0,12505,667,13876,219969.5,4924.7,5390.0,728.1,473.9,10948.4,20868.1,1193.2,12595.1,9430.2,4939.6,24739.2,39109.0,15187.9,4814.5,2124.3,31513.2,1256.4,10645.1,5385.7,180860.5,14282.2,26802.6,17313.3,5717.1,6384.7,13824.9,239.21
Alabama,2020,3,5035811,6.57,3953630.0,2274751.0,2103691.0,171060.0,7.5,231621.3,20807,945,15426,241862.0,6425.2,6361.9,1430.8,650.1,11117.1,24569.3,1238.5,13037.3,9490.6,4921.1,25488.9,39900.7,18813.4,5042.2,2056.6,36511.1,1734.2,11941.7,6142.4,201961.3,15005.6,28065.1,19410.6,6613.5,6807.0,15498.8,246.46
Alabama,2020,4,5040498,4.83,3960584.0,2273333.0,2154595.0,118738.0,5.2,230509.0,17496,942,14166,243428.9,5949.5,6547.5,1904.4,687.2,11563.7,24832.5,1248.4,13211.3,9603.9,4930.8,25544.9,40079.6,18811.6,5152.3,2176.0,36874.7,1716.1,12042.2,6145.9,203349.3,15447.8,28406.3,18722.6,6618.8,6949.4,15216.0,258.23
Alabama,2021,1,5041731,3.9,3964977.0,2249195.0,2156212.0,92983.0,4.1,269156.8,18737,955,13694,251618.7,6751.3,6984.7,2702.2,844.2,11702.0,25826.3,1267.2,13654.6,9666.1,5030.3,25549.4,40245.7,18850.0,5109.6,2225.9,38511.0,1951.6,12684.7,6034.1,211373.0,15540.5,28907.9,19816.8,7358.9,7431.2,15729.2,264.88
Alabama,2021,2,5046237,3.57,3969335.0,2242763.0,2160750.0,82013.0,3.7,249144.4,21966,925,13961,257543.4,7502.7,6976.5,2601.9,893.7,11739.9,26446.7,1257.6,14398.4,9749.7,5127.0,26070.2,40946.8,18696.0,5466.0,2261.5,39541.4,1856.5,13094.7,6275.3,216596.6,16133.2,29552.9,20527.2,7627.7,7238.9,16049.5,277.5
Alabama,2021,3,5053290,3.17,3976503.0,2239264.0,2164741.0,74523.0,3.3,250621.3,17910,964,15473,261854.0,7803.3,7166.7,3174.8,952.6,11774.5,26323.7,1296.6,14649.2,9875.3,5292.2,26508.3,41675.8,18890.9,5554.0,2296.0,39830.3,1884.2,13506.5,6393.1,220178.2,16467.6,30094.2,20093.2,7929.6,7599.8,16327.7,290.33
